lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4M-P,N4M-Q,N4M-R,N4M-S,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
FA(14:1),-10.512058381687584,13.585326360366148,1750.920625131384,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,2.1599179703145666e-05,1.301022827260608e-05,2.316632936495777e-05,1.6591330454488454e-05,0.008491036785253675,0.012412223673980403,0.029775621061954183,0.02984832572293055,0.012910053216024644
FA(14:2),-12.508829189374453,16.566303757535948,2165.0174798588946,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,4.435564974663756e-05,1.3017969320856126e-05,2.317076839616828e-05,6.371557500881447e-05,0.05751085601504503,0.1020941471243193,0.2477792007491859,0.22330916781374197,0.10344257331284291
FA(16:0),9.545594321850388,14.181277486847907,1554.9515090867526,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.03380717612223059,0.014380458773104138,0.030495275440489463,0.05071334324410139,2.263839891989959e-05,7.027095368789538e-05,1.4390212730484208e-05,1.3348881101570426e-05,0.034730020670695604
FA(14:0),-8.613086876989254,11.91336510979332,1360.3738647891653,8.577502594426489e-298,6.919900218053571e-295,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,2.159959342489611e-05,1.3013224785902805e-05,2.3156563310026205e-05,1.6584930132607836e-05,0.005948024844575231,0.005493500962943731,0.00038514220019815845,0.010017679771813493,0.006300746408330687
FA(17:6),4.54302305070178,10.501849843297046,548.7758963835108,2.3242504981551604e-121,1.5000712715093406e-118,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.0025847462485955285,0.0023788850765693557,0.002350158163405459,0.00283424792291099,9.549018908648958e-05,7.979878975237549e-05,6.784429800653623e-05,0.00010625711465143144,0.002296268539721191
DG(28:2)_C18:1,-3.2253762314490846,8.7235687647845,311.10482215923014,1.254723351519187e-69,6.748320425587361e-67,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.857746262564346e-05,2.326713563623253e-05,4.1480815820340254e-05,3.005160540197599e-05,0.000178684253521039,0.00025202570104231883,0.000315147230161035,0.00018206322075619031,0.0015222316877198884
FA(15:6),-3.2159377529452065,8.66684667573321,307.9021109939357,6.255191652291835e-69,2.8836433517065355e-66,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,2.1607446097068744e-05,1.301622139445697e-05,2.3166329280290295e-05,1.659325066702593e-05,0.00015301397125141753,0.00019488848014722937,7.111466276499828e-05,9.469667869885657e-05,0.0017208913542772829
"DG(44:9),DG(43:2)_C18:1",2.6148242941588555,9.478625300328762,216.5999487671997,4.9893871032321425e-49,2.0125940227662654e-46,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,0.0004966947597698487,0.00010771887698712252,0.007370942025561093,0.00022813599441893969,0.0007510595304259875,0.00012557896725941161,5.1119055039533765e-05,8.868438285802289e-05,2.651814706964183e-05
FA(22:3),1.820908850442952,10.225689655914968,111.32515370673624,5.021994743184842e-26,1.8006641151397206e-23,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.0011222893939350394,0.0007159201478517333,0.006745691899836754,0.0008554185268049464,0.0003367527480856888,0.0007016524971819077,0.00018595885319078802,0.00046863783856755897,0.0011813512645744513
CAR(10:2)_QUAL,-1.6578029080082843,9.026555003228989,93.15551571379544,4.834254082743628e-22,1.5600137925013689e-19,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,CAR,0.0002960180428361532,0.0003395279770034993,0.0002877355934285735,0.000323853362434876,0.0003856219946454785,0.00023915757015603224,0.0023895806060455454,0.00024709460690100775,0.00012519603117261627
"DG(36:7),DG(35:0)_C16:0",-1.446918467371442,9.413080105605172,71.81488734871662,2.3636223946308162e-17,6.934008606794222e-15,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,0.00015283471866394966,0.0004100123440846002,0.00018083435901118753,0.000620253987023203,0.0005839879841799993,0.00034440043285558327,0.0008741498251042263,0.0014252146926154402,0.0008270854406532996
DG(41:5)_C16:0,-1.3557690388975685,8.602598874815284,63.30202214438724,1.7732218126512348e-15,4.768488991187947e-13,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,9.367359909975419e-05,0.00025300313088258154,0.00011651436692933695,0.00035229367793755337,0.00030559022474130055,0.00023425987849533185,0.0004538780193642983,0.0007990965358425428,0.0004703424964316991
DG(36:6)_C16:0,-1.3350233782576997,7.250310022504355,61.291489792531806,4.922032428077086e-15,1.2217998958003657e-12,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,5.52246776461512e-05,0.00010737727018471104,4.587544029325047e-05,0.00013699168180927128,0.00013859276716773,9.814961814729866e-05,0.00020412871169911217,0.00030718027342681986,0.00014683424738979665
FA(21:2),1.2112789773136423,11.02862872956643,50.95314164247248,9.459748443816857e-13,2.1804720162997847e-10,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.001121288341892776,0.0009950758344873143,0.01063801371828241,0.0012219527021646204,0.001819566500512216,0.0011538197740774269,0.000510551479366406,0.0007421091701112576,0.002571118194481819
FA(12:0),1.0987955055020018,12.257597081754676,42.144757968485465,8.476084724613336e-11,1.8234883604218155e-08,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.008277892385734923,0.004120193557276098,0.02263860052781974,0.0033304956138015024,0.0028112857429968357,0.003623604261014506,0.003102155295110102,0.0026314732409643514,0.0014711478953155646
"DG(42:11),DG(41:4)_C16:0",-1.0979202976982232,6.88201900313998,41.86732450886154,9.768143824688681e-11,1.9701125076418987e-08,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,4.746173634470084e-05,9.424967898268958e-05,4.860587806986714e-05,0.00012034210865151194,0.00010939429586233815,6.435158888058574e-05,0.0001238439587677088,0.0002705552905162089,0.0001002623373667571
